SITENAME,LAYER,COUNTRY,REGION,technocomplex,TC_ID,LEP,DATETYPE,LABID,C14AGE,C14STD,REFS,LON,LAT,quality
Vlakno cave,(under tephra NYT),Croatia,E,Late Epigravettian,OK,,AMS,Beta-277309,12350,70,Vujevi?- Parica 2011; Cvitkusic et al. 2018 (QI),15.0302,44.03321,3
?andalja II,B/s,Croatia,E,Late Epigravettian,OK,,non-AMS,GrN-4978,12320,100,Malez- Vogel 1969,13.8967,44.8825,2
Grotta di Pozzo,IV (PS1),Italy,W,Late Epigravettian,OK,,AMS,GX-27906,12320,50,Mussi et al. 2011,13.67165,41.97165,1
Klithi,stratum 0008,Greece,E,Epigravettian,?,,AMS,OxA-502,12300,200,Bailey and Gamble 1990,20.66364,39.968089,4
?andalja II,B/g,Croatia,E,Late Epigravettian,OK,,AMS,oxA-26874,12295,55,Oros Sr?en et al. 2014,13.8967,44.8825,1
Vela spila,Tephra (NYT),Croatia,E,Late Epigravettian,OK,,AMS,VERA-2345,12290,40,Farbstein et al. 2012,16.72004,42.9664,1
Verdi di  Pradis  R.I,1a,Italy,W,Late Epigravettian,OK,,AMS,LTL13258A,12273,50,see Naudinot et al. 2014,12.9313,46.2358,1
Vela spila,Tephra (NYT),Croatia,E,Late Epigravettian,OK,,AMS,VERA-2346,12260,40,?e?uk- Radi? 2002; 2005,16.72004,42.9664,1
Clusantin,4,Italy,W,Late Epigravettian,OK,ER2,non-AMS,LTL1216A,12256,85,see Naudinot et al. 2014,12.85552,46.2444,2
Boila,horizon IIIa,Greece,E,Late Epigravettian,OK,,AMS,DEM-501,12233,221,Kotjabopoulou et al. 1999,20.658938,39.966382,1
riparo Ermanno di Pompeis,4,Italy,W,Late Epigravettian,OK,,AMS,LTL524A,12140,100,Serradimigni,14.0383,42.18,1
Vlakno cave,Stratum 5,Croatia,E,Late Epigravettian,OK,,AMS,Beta-414278,12100,40,Cvitkusic et al. 2018 (QI),15.0302,44.03321,1
Vlakno cave,Stratum 5,Croatia,E,Late Epigravettian,OK,,AMS,Beta-414467,12080,40,Cvitkusic et al. 2018 (QI),15.0302,44.03321,1
Villabruna A,14,Italy,W,Late Epigravettian,OK,ER2,AMS,UtC-1770,12050,110,see Naudinot et al. 2014,11.9412,46.094,1
Villabruna A,16,Italy,W,Late Epigravettian,OK,ER2,non-AMS,R-2022,12040,125,see Naudinot et al. 2014,11.9412,46.094,2
Villabruna A,17,Italy,W,Late Epigravettian,OK,ER2,non-AMS,R-2023,12040,150,see Naudinot et al. 2014,11.9412,46.094,2
Riparo Tagliente,80000000000,Italy,W,Late Epigravettian,OK,ER2,non-AMS,R-371,12040,170,Radiocarbon 1970; see Naudinot et al. 2014,11.02229,45.5254,2
?andalja II,B/C,Croatia,E,Late Epigravettian,OK,,AMS,oxA-26872,12035,55,Oros Sr?en et al. 2014,13.8967,44.8825,3
Clusantin,4,Italy,W,Late Epigravettian,OK,ER2,non-AMS,LTL430A,12004,60,see Naudinot et al. 2014,12.85552,46.2444,2
Riparo Tagliente,14,Italy,W,Late Epigravettian,OK,ER1,non-AMS,R-604,12000,400,Radiocarbon 1970; see Naudinot et al. 2014,11.02229,45.5254,5
Grotta Continenza,44,Italy,W,Late Epigravettian,OK,ER2,AMS,LTL1250a,11983,80,Boschian et al. 2017,13.5333,41.95,1
Kopa?ina,20-40 cm,Croatia,E,Late Epigravettian,OK,,non-AMS,Z-2404,11980,270,Miracle 1995; Forenbaher 2002,16.6372,43.32,3
Grotta Paglicci,4a-c,Italy,W,Late Epigravettian,OK,,non-AMS,F-95,11950,190,Radiocarbon 1977,15.615192,41.653984,2
Villabruna A,13,Italy,W,Late Epigravettian,OK,ER2,AMS,UtC-1979,11910,120,see Naudinot et al. 2014,11.9412,46.094,1
Villabruna A,10A,Italy,W,Late Epigravettian,OK,ER2,AMS,UtC-1771,11910,160,see Naudinot et al. 2014,11.9412,46.094,1
Soman,inf,Italy,W,Late Epigravettian,OK,ER2,non-AMS,Gd-6158,11880,170,see Naudinot et al. 2014,10.8616,45.5993,2
Clusantin,4,Italy,W,Late Epigravettian,OK,ER2,non-AMS,LTL1215A,11879,85,see Naudinot et al. 2014,12.85552,46.2444,2
Grotta Romanelli,D,Italy,W,Late Epigravettian,OK,,AMS,LTL17738A,11858,85,Calcagnile et al. 2019,18.493,40.143,1
Grotta Continenza,37,Italy,W,Late Epigravettian,OK,ER2,AMS,LY-10755,11830,110,Boschian et al. 2017,13.5333,41.95,1
Grotta Romanelli,D,Italy,W,Late Epigravettian,OK,,AMS,LTL17297A,11829,80,Calcagnile et al. 2019,18.493,40.143,1
Val Lastari,3D-Str. III,Italy,W,Late Epigravettian,OK,ER2,AMS,UtC-2687,11800,150,see Naudinot et al. 2014,11.354,45.7966,1
Crvena stijena,VIII?,Montenegro,E,Late Epigravettian,?,,AMS,OxA-23343,11790,50,Mercier et al. 2017,18.405,43.809,3
Verdi di  Pradis  R.I,2,Italy,W,Late Epigravettian,OK,,non-AMS,F-84,11770,260,see Naudinot et al. 2014,12.9313,46.2358,5
Grotta La Punta,Base,Italy,W,Late Epigravettian,OK,,non-AMS,R-1272,11770,70,,13.51667,42.01667,2
Crvena stijena,VIII,Montenegro,E,Late Epigravettian,OK,,AMS,OxA-23313,11755,55,Mercier et al. 2017,18.405,43.809,1
Zemunica,143,Croatia,E,Late Epigravettian,OK,,AMS,Beta-218732,11740,90,?o?i? Klindzi?  et al. 2015,16.6665,43.5617,1
Grotta Continenza,39,Italy,W,Late Epigravettian,OK,ER2,AMS,LY-10663,11725,65,Boschian et al. 2017,13.5333,41.95,1
Vlakno cave,Stratum 5,Croatia,E,Late Epigravettian,OK,,AMS,Beta-385285,11710,40,Cvitkusic et al. 2018 (QI),15.0302,44.03321,1
Grotta della Ferrovia,US 3,Italy,W,Late Epigravettian,OK,,non-AMS,R-1005,11700,200,Radiocarbon 1976,12.73,45.75,3
Grotta Romanelli,D,Italy,W,Late Epigravettian,OK,,AMS,LTL17736A,11685,65,Calcagnile et al. 2019,18.493,40.143,1
Grotta Continenza,40,Italy,W,Late Epigravettian,OK,ER2,AMS,LY-10754,11560,100,Boschian et al. 2017,13.5333,41.95,1
Ve?anska pe?,II/3A,Croatia,E,Late Epigravettian,OK,,AMS,Beta-120275,11530,50,Miracle- Forenbaher 2000,14.1539,45.3141,1
Nugljanska pe?,8,Croatia,E,Late Epigravettian,OK,,AMS,Beta-127705,11520,90,Miracle- Forenbaher 2000,14.0054,45.42896,1
?andalja II,C/s,Croatia,E,Late Epigravettian,OK,,AMS,oxA-26870,11515,50,Oros Sr?en et al. 2014,13.8967,44.8825,5
Grotta Continenza,35,Italy,W,Late Epigravettian,OK,ER2,non-AMS,R-1198,11500,120,Boschian et al. 2017,13.5333,41.95,2
Riparo Dalmeri,15,Italy,W,Late Epigravettian,OK,ER3,non-AMS,KIA-20341,11450,50,see Naudinot et al. 2014,11.60222,45.99361,2
Grotta Paglicci,3a,Italy,W,Late Epigravettian,OK,,non-AMS,F-94,11440,180,Radiocarbon 1977,15.615192,41.653984,2
Konispol,28 (trench VIII),Albania,E,Late Epigravettian?,?,,non-AMS,Beta-5643 ,11410,80,Petruso et al. 1994,20.1667,39.65,3
Ve?anska pe?,II/3,Croatia,E,Late Epigravettian,OK,,AMS,Beta-127706,11410,90,Miracle- Forenbaher 2000,14.1539,45.3141,1
Grotta Romanelli,D,Italy,W,Late Epigravettian,OK,,AMS,LTL17737A,11409,85,Calcagnile et al. 2019,18.493,40.143,1
Val Lastari,3B,Italy,W,Late Epigravettian,OK,ER2,AMS,UtC-1773,11390,110,see Naudinot et al. 2014,11.354,45.7966,1
Ljubi?eva pecina,Horizon C (niveau 3),Croatia,E,Late Epigravettian,OK,,AMS,GrA 40926,11350,50,Percan- Kom?o- Beki? 2009;  Simonet 2013,13.9518,44.9718,1
Grotta delle Mura,LM 3 a-b,Italy,W,Late Epigravettian,OK,,AMS,?,11330,100,see Fiorentino and Parra 2012,17.3,40.95,1
Le Viotte,M117I,Italy,W,Late Epigravettian,OK,,AMS,UtC-13418,11320,70,see Naudinot et al. 2014,11.05092,46.03395,1
